calamity_label,location,count
drought,Alabama,2
drought,Athens,1
drought,Basin,1
drought,Bay,2
drought,Bay County -,1
drought,"Bay County</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Panama",1
drought,Buckhannon,1
drought,CBMi5wFBVV95cUxNX1Z2QUtCNWgzUXg3MjF2ald0MlF4RHd1VHRqcGtMNWVsQWNBcXBpMFVyVl96ZWtnT2U5a2RkWUd4TG4xd2ExaFN2STJEUEFBNE5xZXNUM2pORG9pY241YXk2VEhZODRSOHd3MUZ1eXlkaXRseUhNNW54S0V6MHExa25kRUtVT1dWWGtJZG11NVozSE1teGE5ZTU4WFN6OWs5VXhqTWZibW1zVjM0d3VzMklSVjd6dVJQU3k5eDItRE5WOGtMcmZxS1pSUkVzMm02QUhLYXAyeERBdjRzVUQydW5vdExhdEE?oc=5,1
drought,CBMilAFBVV95cUxQR2x2ZmFTMXBodlJKbXlIOXNCd1MxMERNY1dzemZtRlFlbzJaNkJJZlJkNFhOTFVadUcyOFQ3YVFDX3R5Mnc4ZjUxbXRYcHhTSlpUZkM1a1cxSjFBR2QyUzNaRUhSdTIwYU5HcUU5aXBSNUxGUHhjUnZnRmZlTjlqdVhzczVCLUc0NVJCdk9XVkpvNXpm?oc=5,1
drought,CBMimgJBVV95cUxQbE9aSTNva3FIc29wVzhJanNFSllMZFM4bUxqWHlBNnA4YlZPenZsWEhUN0VJdDR1MnlmbkVCMG5XdlZqcW5CSl9aQ1ZUNkV4LWVZc2VGUVptZkdTY0RVako0SXYzRkJ4UzY5MDdXOVNQVHFrMEczRkZtd0JMekhnMUQxVTVlMWYyT092a0FSNHZIYU1oYzV1RUdwelRfT0l1LVFqT2JFMDdqQzZfV2RjQTQ0QUtBUjkwOHV6cUk1YzVUdGtuZjdISEFWUkwtU2p0QVl0Ymc1ZUxwbFpCdjQ4NV9COWl3UndZX1c2VWVnN1FYalN0b3U2YVFGWTV1azJHenl6U2RpUFhGRFk4YmNYcUwwSmJMeHU3bXc?oc=5,1
drought,CBMiogFBVV95cUxQaEhVRDdmQ0stN3NIajBmVk5rcWw0OFhvdVlBa3NLa2dIMVZmSDR4d0tfSHFacXNTMnJwNU5XQTA1NjVSRlI1eXlncjdmQmM3cnk0VG1zQTF3OXQzQnZKSTVvcG5RUWs4TENpM3dBNlg5dTFrbWJBVUthTlQ1WTJOR3prTG5RMm83LXZpWVNLNEY0aDlPMUVQVWZYeUUtMEw3UHc?oc=5,1
drought,CBMiqwFBVV95cUxQT0Z2WGdTWnBwSGtnTWdmQ3J4T0xINmFHRjdLNU93dGhBMzMxTkxXVks1dHpaVU41cWtsSVRveHg5Z216ZC1rLVRTZURTNEx5X19qZUhKZEFNT0lfOWw1bG5FZW9lc1MxRVRWNTllU1ZGS2ZzbEJWSlJ0TldRTzBVTHpWdndJV1ZDcVpIbHdKenNCSUJaM2xacXV1aEhrUVM5VmhlS2hMaTVoTWc?oc=5,1
drought,CBMiugFBVV95cUxQaXdqRWlwX2VXWGtCYnBXUU96Y0JxN0YwS3FYamhvVzZIUzBWR2l5cDRwak1YYnVnUjk2UU1iQzdqMi14ZmNJX3ZyUk5uUnFuUkpMMElVWnU0Vk5Kd05JR1RyTHdFRkRpOVNQSU9OdVJObjNJN3JwWHR0SHYwdGV1LWRXcWpiVVFLWkE5cGJPcnozYldHRGRUX1RERUVBOGU0NkxmQS11N3U1b3VHdE9sN25pY3RiTzU3SUE?oc=5,1
drought,California,1
drought,Cambodia,1
drought,Central Water,1
drought,China,2
drought,Davis</font,1
drought,Decatur,1
drought,Drysdale,1
drought,Dublin,1
drought,Dundee,1
drought,Ethiopia,1
drought,Florida,1
drought,Heights,1
drought,Houston,1
drought,Iran,7
drought,Ireland,1
drought,Islamic Republic,1
drought,Israel,1
drought,Jets,1
drought,Leon County,2
drought,Leros,1
drought,Maine,7
drought,Manatee County,1
drought,Manatee County -,1
drought,Mandarin Orange,1
drought,Mandarin Orange Prices -,1
drought,Maryland,1
drought,Maya,3
drought,Middle East,1
drought,Middle East Eye,1
drought,Midwest,1
drought,Mississippi,1
drought,NE Ga. - 97.5,1
drought,New Hampshire,1
drought,New Mexico,1
drought,News</font,2
drought,Newswise</a>&nbsp;&nbsp;<font,1
drought,North Country,1
drought,Northeast Florida,1
drought,Novembe,1
drought,Ochlockonee River,1
drought,Ohio,2
drought,Patmos,1
drought,Pennsylvania,1
drought,Polk County,1
drought,Quebec,2
drought,Roma,1
drought,Russian Federation,1
drought,S. Ga.,1
drought,Scotland,1
drought,Somalia,5
drought,South Africa,1
drought,South Park,1
drought,South Park Season,1
drought,Southeast Georgia,1
drought,Southwest,2
drought,Southwest Florida - WINK News,1
drought,Suwannee County,1
drought,Tallahassee,2
drought,Tampa Bay,3
drought,Tehran,4
drought,United States,1
drought,Upshur County,1
drought,Vermont,2
drought,West Virginia,1
drought,West Virginia - WTAP,1
drought,West Virginia</a>&nbsp;&nbsp;<font,1
drought,Wichita County,1
drought,"color=""#6f6f6f"">fox10tv.com</font",1
drought,low</a>&nbsp;&nbsp;<font,1
drought,soon?</a>&nbsp;&nbsp;<font,1
drought,"target=""_blank"">Upshur County",1
drought,"target=""_blank"">Wichita County",1
drought,the Maya Urban,1
drought,the Maya Urban Collapse - SciTechDaily,1
drought,the Tampa Bay,1
earthquake,ATLANTA,1
earthquake,Aceh,1
earthquake,Afghanistan,1
earthquake,Alaska,14
earthquake,Amachoding,1
earthquake,Anchorage,3
earthquake,Annapurna,1
earthquake,Arkansas,1
earthquake,Aso City,1
earthquake,Atlanta,1
earthquake,Azerbaijan,1
earthquake,Bangladesh,4
earthquake,Bay Area,1
earthquake,Bay Area - San Francisco Chronicle,1
earthquake,Big Island,1
