location,drought,earthquake,flood,hurricane,unknown,wildfire
AP)India,0.0,0.0,0.0,0.0,1.0,0.0
ATLANTA,0.0,1.0,0.0,0.0,0.0,0.0
Aceh,0.0,1.0,0.0,0.0,0.0,0.0
Addis Ababa,0.0,0.0,0.0,0.0,1.0,0.0
Afar,0.0,0.0,0.0,0.0,1.0,0.0
Afghanistan,0.0,1.0,0.0,0.0,0.0,0.0
Alabama,2.0,0.0,0.0,0.0,0.0,0.0
Alabama-Auburn,0.0,0.0,0.0,0.0,1.0,0.0
Alaska,0.0,14.0,0.0,1.0,0.0,1.0
Altadena,0.0,0.0,0.0,0.0,0.0,3.0
Amachoding,0.0,1.0,0.0,0.0,0.0,0.0
America,0.0,0.0,1.0,0.0,2.0,0.0
Anaheim,0.0,0.0,0.0,1.0,0.0,0.0
Anchorage,0.0,3.0,0.0,0.0,0.0,0.0
Andhra,0.0,0.0,0.0,1.0,0.0,0.0
Annapurna,0.0,1.0,0.0,0.0,0.0,0.0
Antioch,0.0,0.0,0.0,0.0,1.0,0.0
Araceli,0.0,0.0,0.0,0.0,1.0,0.0
Arctic,0.0,0.0,0.0,0.0,0.0,1.0
Arkansas,0.0,1.0,0.0,0.0,1.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,1.0
Asia,0.0,0.0,1.0,0.0,0.0,0.0
Aso City,0.0,1.0,0.0,0.0,0.0,0.0
Athens,1.0,0.0,0.0,0.0,0.0,0.0
Atlanta,0.0,1.0,0.0,1.0,0.0,0.0
Atlantic,0.0,0.0,0.0,5.0,0.0,0.0
Atlantic City,0.0,0.0,1.0,1.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0,2.0
Avery County’s,0.0,0.0,0.0,0.0,0.0,1.0
Azerbaijan,0.0,1.0,0.0,0.0,0.0,0.0
B.C.,0.0,0.0,1.0,0.0,0.0,1.0
BELGRADE,0.0,0.0,0.0,0.0,1.0,0.0
BROOKLYN,0.0,0.0,0.0,1.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,3.0,0.0
Balkans,0.0,0.0,0.0,0.0,2.0,0.0
Bangladesh,0.0,4.0,0.0,0.0,2.0,0.0
Barbados,0.0,0.0,0.0,0.0,1.0,0.0
Barcelona,0.0,0.0,0.0,0.0,2.0,0.0
Basin,1.0,0.0,0.0,0.0,0.0,0.0
Bay,2.0,0.0,0.0,0.0,0.0,0.0
Bay Area,0.0,1.0,0.0,0.0,0.0,0.0
Bay Area - San Francisco Chronicle,0.0,1.0,0.0,0.0,0.0,0.0
Bay County -,1.0,0.0,0.0,0.0,0.0,0.0
"Bay County</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Panama",1.0,0.0,0.0,0.0,0.0,0.0
Beach Gardens,0.0,0.0,0.0,1.0,0.0,0.0
Beale,0.0,0.0,0.0,0.0,1.0,0.0
Best States,0.0,0.0,0.0,1.0,0.0,0.0
Bhumjaithai,0.0,0.0,1.0,0.0,0.0,0.0
Big Island,0.0,1.0,0.0,0.0,0.0,0.0
Bitcoins,0.0,0.0,0.0,0.0,1.0,0.0
Bloomberg,0.0,0.0,0.0,0.0,1.0,0.0
Blumhouse,0.0,0.0,0.0,0.0,2.0,0.0
Bongbong,0.0,0.0,1.0,0.0,0.0,0.0
Bosnia-Herzegovina,0.0,0.0,0.0,0.0,2.0,0.0
Brazil,0.0,0.0,0.0,0.0,3.0,0.0
Breitbart,0.0,0.0,0.0,0.0,1.0,0.0
Bremen,0.0,0.0,0.0,0.0,1.0,0.0
Brodnica,0.0,0.0,0.0,0.0,1.0,0.0
Brooklyn,0.0,0.0,1.0,1.0,0.0,0.0
Brussels,0.0,0.0,0.0,0.0,1.0,0.0
Bucket,0.0,0.0,0.0,0.0,1.0,0.0
Buckhannon,1.0,0.0,0.0,0.0,0.0,0.0
Buffalo,0.0,0.0,0.0,0.0,1.0,0.0
CBMi1gFBVV95cUxQQy1jVkR4Sk1QSmpJX0NkNWd5ajQ4MmtpalJBcUpmSlNpdzg1Q0pTMDlhLXhTLWZBTDI3WDdBUXNBUnhZTklRQ3FSVkhXN3JfUUh3ZFF2T2stWVMtQzZMRVBCQy1rRXVYRk9DMWRRU3p4RmNJSXVjYnhWQ3JLTHpxN1Y3Y0kyRUFlZVVsQlhUaDNsMEpfcjVzM2FITVNidndFbVdnU29IWFV1aXpmTEtyaGFKN0c3ZU16NVdpcldtZnh2Ym5mY28zc1dxTnRfYU04TmZuWmFB?oc=5,0.0,1.0,0.0,0.0,0.0,0.0
CBMi2AFBVV95cUxNZHJfRDNMTS12SjlnQklYRTJTZkpmUVY1a3Vub1RJUW5jTmR2bkw5OGwyS2JiV3VYczIzM3EtUXJTNEtLenNRWkFjMTV5OTUycXlMT2NMbW9faGJuSWpqTUhpVEpRczZ0X05OUW5IcmFMTWh2TU1GVFA3QjRvZDVmTWNMMGNaNzQ1bTd4Q0JxRXgyRjZtejFaNk9YMGhzbE5DNDR6VHI0QXpFVHgwMU9ZejBockVveFdxWlMtMVBfSlBVNVZPS0NPZ05xZzNiY1VaRWpJYjZxZno?oc=5,0.0,0.0,1.0,0.0,0.0,0.0
